OID_,LAT,LONG,SymbolID,B04,B05,B06
42624,20.52248781100008,104.70673511600006,5,0.0588,0.0789,0.1131
42625,20.524252738000037,104.71913992400005,5,0.04485,0.05025,0.07775
42626,20.52346122200004,104.71416258400006,5,0.0623,0.0693,0.09985
42627,20.523597180000024,104.71668436800007,5,0.04495,0.06595,0.095
42628,20.522907546000056,104.70983068000004,5,0.0697,0.0759,0.112
42629,20.523970341000048,104.71828722700008,5,0.04495,0.0554,0.0837
42630,20.52321467500008,104.71072928700004,5,0.05575,0.07415,0.1078
42631,20.522803230000022,104.71050625500004,5,0.0683,0.0936,0.139
42632,20.522965784000064,104.70795503200009,5,0.04895,0.0577,0.09025
42633,20.523255407000025,104.70679865400004,5,0.05205,0.0637,0.09345
42634,20.523608618000026,104.71480355700004,5,0.04895,0.0661,0.096
42635,20.52215515100005,104.70876027100007,5,0.07255,0.0957,0.1519
42636,20.523909277000037,104.72002514000008,5,0.0611,0.0721,0.1013
42637,20.52015718700005,104.70735626800004,5,0.0554,0.0694,0.1082
42638,20.522683391000044,104.70454205500003,5,0.07175,0.0821,0.128
42639,20.52309179400004,104.70569738100004,5,0.0552,0.0634,0.0961
42640,20.52328939600005,104.71683764100004,5,0.06395,0.0794,0.1156
42641,20.52310745500005,104.70930898700004,5,0.05105,0.05775,0.0904
42642,20.523113997000053,104.71104139600004,5,0.059,0.08125,0.1212
42643,20.523380721000024,104.71816742800009,5,0.0616,0.06705,0.0993
42644,20.522648657000047,104.70565526900003,5,0.0617,0.07645,0.107
42645,20.523363000000074,104.71618599100007,5,0.06475,0.0794,0.1133
42646,20.51973995300005,104.70791636600006,5,0.05705,0.0756,0.10285
42647,20.523578104000023,104.71873909200008,5,0.04755,0.06365,0.0985
42648,20.522967826000077,104.71064056000004,5,0.05575,0.0856,0.1301
42649,20.52286968100003,104.70624206700006,5,0.06005,0.0646,0.09605
42650,20.521140730000077,104.70668459300003,5,0.0623,0.0755,0.1131
42651,20.52340825700003,104.71542116500008,5,0.0667,0.07805,0.1147
42652,20.522346249000066,104.70906203900005,5,0.07255,0.0932,0.1399
42653,20.52265725700005,104.70716637500004,5,0.0586,0.0629,0.0952
42654,20.523188939000025,104.70576549100008,5,0.05475,0.06555,0.0959
42655,20.523678355000072,104.71997670600004,5,0.0611,0.0831,0.1189
42656,20.52203023200008,104.70674959600008,5,0.07245,0.09305,0.1352
42657,20.52271040100004,104.70443023200004,5,0.07175,0.0827,0.1279
42658,20.523090695000064,104.71280274900003,5,0.0587,0.0871,0.1354
42659,20.523246702000048,104.70888740700008,5,0.0485,0.04635,0.07475
42660,20.52344128200008,104.71471269800008,5,0.067,0.0764,0.111
42661,20.52326745000005,104.71478181100008,5,0.067,0.0857,0.1326
42662,20.523224526000035,104.71535604400005,5,0.0667,0.08685,0.1284
42663,20.52347601300005,104.71890697200008,5,0.06495,0.0716,0.1026
42664,20.522544314000072,104.70686044000009,5,0.0588,0.0849,0.126
42665,20.52304677600005,104.70754039400003,5,0.04895,0.05955,0.0932
42666,20.52367110700004,104.71444057300003,5,0.04895,0.06435,0.0906
42667,20.522973156000035,104.71101590700005,5,0.0658,0.0892,0.1368
42668,20.522342347000063,104.70689446900008,5,0.07245,0.08335,0.122
42669,20.523134814000056,104.71213160100008,5,0.06015,0.08705,0.1325
42670,20.522680184000023,104.70542798400004,5,0.0617,0.0739,0.111
42671,20.52266598700004,104.70765973300009,5,0.05725,0.0628,0.0961
42672,20.523386913000024,104.71356956700004,5,0.0594,0.07325,0.1086
42673,20.523224462000037,104.71406574600007,5,0.0623,0.0848,0.1246
42674,20.52270685600007,104.70515698300004,5,0.0617,0.07865,0.119
42675,20.52344432200005,104.71324137300007,5,0.0594,0.0709,0.1063
42676,20.52412633900008,104.71948752700006,5,0.04485,0.0635,0.0882
42677,20.52254018700006,104.70732144800007,5,0.0586,0.0848,0.1127
42678,20.522597164000047,104.70712052100004,5,0.0586,0.0789,0.1119
42679,20.52366554300005,104.71525117200008,5,0.05315,0.06755,0.0945
42680,20.523222577000077,104.71720207400004,5,0.06395,0.0837,0.1211
42681,20.52337118100008,104.71304516500004,5,0.0587,0.0715,0.1047
42682,20.52268291000007,104.70408679900004,5,0.07175,0.086,0.1338
42683,20.523590315000035,104.71953422300004,5,0.05515,0.0795,0.1133
42684,20.52248745600008,104.70585767600004,5,0.06005,0.07505,0.1158
42685,20.52347948800008,104.71366515500004,5,0.0594,0.06695,0.10025
42686,20.52289484000005,104.70913726300004,5,0.05635,0.0622,0.09635
42687,20.522481297000077,104.70813548700004,5,0.0558,0.06915,0.1032
42688,20.52347502500004,104.71555917500008,5,0.0656,0.074,0.1048
42689,20.51964449200005,104.70811303900004,5,0.05575,0.0741,0.1013
42690,20.523660678000056,104.71784885400004,5,0.04495,0.05885,0.08655
42691,20.52386157100005,104.71863470800008,5,0.04755,0.05745,0.0852
42692,20.52261192700007,104.70464602700008,5,0.0676,0.0876,0.1274
42693,20.52091354000004,104.70705011500009,5,0.05965,0.0816,0.12
42694,20.522851123000063,104.70656538600008,5,0.0588,0.0602,0.09285
42695,20.52338288200008,104.71007238000004,5,0.05235,0.0609,0.09045
42696,20.523295908000023,104.71056826500006,5,0.05575,0.0694,0.1001
42697,20.522402150000065,104.70768540800007,5,0.05725,0.0726,0.1114
42698,20.523764100000047,104.71747384500009,5,0.0441,0.05895,0.08635
42699,20.522868001000063,104.70726402600008,5,0.0586,0.0614,0.0922
42700,20.52325011100004,104.71029122000004,5,0.05235,0.0721,0.1001
42701,20.52379872200004,104.71994299900004,5,0.0611,0.0783,0.1162
42702,20.520089274000043,104.70734145600004,5,0.0554,0.0706,0.1095
42703,20.52315122400006,104.70478100000008,5,0.0567,0.07225,0.1036
42704,20.52355953400007,104.71322097000008,5,0.0486,0.0646,0.0947
42705,20.52194344700007,104.70748900600006,5,0.07045,0.08325,0.1255
42706,20.52369717800008,104.71989970400004,5,0.0611,0.08295,0.118
42707,20.52336522000008,104.71639086000005,5,0.06475,0.0742,0.1093
42708,20.52370924500008,104.71933915900009,5,0.05515,0.0722,0.1071
42709,20.523298667000063,104.71314157300009,5,0.0587,0.07605,0.1137
42710,20.523030968000057,104.71030918100008,5,0.05235,0.07525,0.1078
42711,20.522954941000023,104.70685047000006,5,0.05205,0.0625,0.09215
42712,20.52353087400008,104.70976188200008,5,0.05105,0.05545,0.0821
42713,20.521940072000064,104.70689258900006,5,0.07245,0.0826,0.1302
42714,20.52181145800005,104.70658241900009,5,0.06935,0.0934,0.1408
42715,20.522444035000035,104.70805834700008,5,0.0558,0.0712,0.1112
42716,20.523432547000027,104.71884553700004,5,0.06495,0.0751,0.1064
42717,20.52291197900007,104.70920123100008,5,0.05105,0.06065,0.0926
42718,20.52323626200007,104.71137675700004,5,0.059,0.0757,0.1154
42719,20.52296662200007,104.70598325800006,5,0.05475,0.06235,0.09555
42720,20.52379110100003,104.72014696300003,5,0.06565,0.0827,0.115
42721,20.52168606000004,104.70654076500004,5,0.06935,0.1014,0.16
42722,20.52385744300005,104.71789496700006,5,0.04495,0.0565,0.0848
42723,20.52180760600004,104.70708277700004,5,0.06755,0.0848,0.1253
42724,20.522816681000048,104.70797624300008,5,0.05725,0.06145,0.09425
42725,20.51956865300008,104.70812412500004,5,0.05575,0.0749,0.10295
42726,20.523323016000063,104.71742131900004,5,0.0609,0.07715,0.1073
42727,20.523360078000053,104.71420126300006,5,0.0623,0.0765,0.1186
42728,20.523733903000046,104.71926495800004,5,0.05515,0.07,0.10145
42729,20.523470506000024,104.71791022800004,5,0.0616,0.0647,0.09445
42730,20.523580324000022,104.70976592700003,5,0.04465,0.05095,0.0789
42731,20.523156315000048,104.71492252700004,5,0.0667,0.0891,0.1406
42732,20.523872745000062,104.71952321200008,5,0.05515,0.0693,0.10135
42733,20.52406184200004,104.71896163300003,5,0.05515,0.0587,0.08475
42734,20.52322753000004,104.71349117600003,5,0.0594,0.0843,0.1241
42735,20.524294760000032,104.71922228200005,5,0.04485,0.0526,0.07585
42736,20.52349547200004,104.70983046100008,5,0.05235,0.0555,0.084
42737,20.52357918800004,104.71979692000008,5,0.0611,0.0847,0.1241
42738,20.523242331000063,104.71323283800004,5,0.0594,0.08555,0.1275
42739,20.52378975100004,104.71878244700008,5,0.04755,0.0601,0.0905
42740,20.521562696000046,104.70669654800008,5,0.06935,0.0916,0.1317
42741,20.523637260000044,104.71895997700004,5,0.05515,0.06655,0.0996
42742,20.522301498000047,104.70751886100004,5,0.07045,0.0817,0.1201
