OID_,LAT,LONG,SymbolID,B04,B05,B06
140,19.84298968,105.3515929,0,0.0588,0.0863,0.1086
141,19.84300668,105.3514664,0,0.0666,0.0866,0.1009
142,19.84300169,105.3515979,0,0.0588,0.0863,0.1086
143,19.843013415,105.3516019,0,0.0588,0.0863,0.1086
144,19.84299978,105.3514548,0,0.0666,0.0866,0.1009
145,19.84300391,105.3516092,0,0.0588,0.0863,0.1086
146,19.84299541,105.3516157,0,0.0588,0.0863,0.1086
147,19.84300726,105.3516218,0,0.0588,0.0863,0.1086
148,19.84300911,105.351528,0,0.0666,0.0866,0.1009
149,19.84297332,105.351563263,0,0.0516,0.0736,0.0807
150,19.8430067,105.3515427,0,0.0588,0.0863,0.1086
151,19.84300151,105.351436,0,0.0588,0.0794,0.0738
152,19.84300534,105.3515381,0,0.0666,0.0866,0.1009
153,19.84302214,105.351628,0,0.0588,0.0863,0.1086
154,19.84302695,105.3516209,0,0.0588,0.0863,0.1086
155,19.84295711,105.3515395,0,0.0524,0.0764,0.079
156,19.842939292,105.3514852,0,0.0524,0.0764,0.079
157,19.84297284,105.351557948,0,0.0516,0.0736,0.0807
158,19.84301342,105.3516118,0,0.0588,0.0863,0.1086
159,19.842941226,105.3515009,0,0.0524,0.0764,0.079
160,19.84297409,105.3514875,0,0.0524,0.0764,0.079
161,19.84299295,105.351581,0,0.0588,0.0863,0.1086
162,19.84300689,105.3514726,0,0.0666,0.0866,0.1009
163,19.84299547,105.35148901,0,0.0666,0.0866,0.1009
164,19.84300612,105.3514932,0,0.0666,0.0866,0.1009
165,19.84294425,105.351468,0,0.0524,0.0764,0.079
166,19.84303251,105.3516376,0,0.0498,0.0758,0.0742
167,19.84300042,105.3516202,0,0.0588,0.0863,0.1086
168,19.84301681,105.3516344,0,0.0498,0.0758,0.0742
169,19.84299973,105.3515182,0,0.0666,0.0866,0.1009
170,19.84300056,105.351616502,0,0.0588,0.0863,0.1086
171,19.8430253,105.3515917,0,0.0588,0.0863,0.1086
172,19.84300399,105.3515833,0,0.0588,0.0863,0.1086
173,19.84299306,105.351553,0,0.0588,0.0863,0.1086
174,19.84297911,105.3515273,0,0.0666,0.0866,0.1009
175,19.8430142,105.3515392,0,0.0666,0.0866,0.1009
176,19.842994897,105.3514515,0,0.0588,0.0794,0.0738
177,19.84298512,105.351498214,0,0.0666,0.0866,0.1009
178,19.84300087,105.3514489,0,0.0588,0.0794,0.0738
179,19.8429605,105.3514863,0,0.0524,0.0764,0.079
180,19.84298568,105.3515823,0,0.0588,0.0863,0.1086
181,19.8429647,105.3514873,0,0.0524,0.0764,0.079
182,19.84300538,105.3515534,0,0.0588,0.0863,0.1086
183,19.84299406,105.3515586,0,0.0588,0.0863,0.1086
184,19.8430236,105.3515361,0,0.0666,0.0866,0.1009
185,19.84302617,105.351555,0,0.0588,0.0863,0.1086
186,19.8429606,105.3515229,0,0.0524,0.0764,0.079
187,19.84300976,105.3515035,0,0.0666,0.0866,0.1009
188,19.842981048,105.3514601,0,0.0666,0.0866,0.1009
189,19.84297532,105.3515065,0,0.0524,0.0764,0.079
190,19.84299245,105.351557,0,0.0588,0.0863,0.1086
191,19.84300115,105.3514993,0,0.0666,0.0866,0.1009
192,19.84299553,105.3515605,0,0.0588,0.0863,0.1086
193,19.84294027,105.3514766,0,0.0524,0.0764,0.079
194,19.84295923,105.3515023,0,0.0524,0.0764,0.079
195,19.84298986,105.3514804,0,0.0666,0.0866,0.1009
196,19.84298965,105.3515334,0,0.0666,0.0866,0.1009
197,19.84298323,105.3515549,0,0.0588,0.0863,0.1086
198,19.84296785,105.3514788,0,0.0524,0.0764,0.079
199,19.84300505,105.3515774,0,0.0588,0.0863,0.1086
200,19.84278235,105.351568252,0,0.0493,0.0812,0.077
201,19.84280091,105.3516416,0,0.078,0.1136,0.1212
202,19.84282412,105.3516342,0,0.078,0.1136,0.1212
203,19.84273208,105.3514641,0,0.0417,0.0643,0.0545
204,19.84280557,105.351543686,0,0.0739,0.0947,0.1188
205,19.842808,105.3515642,0,0.0739,0.0947,0.1188
206,19.84276109,105.351524824,0,0.0417,0.0643,0.0545
207,19.84279411,105.3515268,0,0.0417,0.0643,0.0545
208,19.84277485,105.3514723,0,0.0417,0.0643,0.0545
209,19.84279698,105.3516014,0,0.0739,0.0947,0.1188
210,19.84277456,105.3516588,0,0.0496,0.0738,0.074
211,19.84277266,105.351472359,0,0.0417,0.0643,0.0545
212,19.84276436,105.3516258,0,0.0493,0.0812,0.077
213,19.84275487,105.3515565,0,0.0493,0.0812,0.077
214,19.84276523,105.3514589,0,0.0417,0.0643,0.0545
215,19.8428056,105.3515624,0,0.0739,0.0947,0.1188
216,19.84279414,105.3516461,0,0.0496,0.0738,0.074
217,19.84280961,105.3515454,0,0.0739,0.0947,0.1188
218,19.84277713,105.3516702,0,0.0496,0.0738,0.074
219,19.84282179,105.3516246,0,0.0739,0.0947,0.1188
220,19.84276787,105.3516067,0,0.0493,0.0812,0.077
221,19.84276166,105.3515877,0,0.0493,0.0812,0.077
222,19.84277898,105.351629559,0,0.0493,0.0812,0.077
223,19.84280644,105.3515495,0,0.0739,0.0947,0.1188
224,19.84277013,105.351462,0,0.0417,0.0643,0.0545
225,19.84277496,105.351471,0,0.0417,0.0643,0.0545
226,19.84275821,105.3515792,0,0.0493,0.0812,0.077
227,19.84281427,105.3516088,0,0.0739,0.0947,0.1188
228,19.84281592,105.3516333,0,0.078,0.1136,0.1212
229,19.84282943,105.351631321,0,0.0739,0.0947,0.1188
230,19.842792285,105.3516098,0,0.0493,0.0812,0.077
231,19.84278946,105.3516783,0,0.0496,0.0738,0.074
232,19.84277673,105.3515492,0,0.0493,0.0812,0.077
233,19.84281168,105.3515638,0,0.0739,0.0947,0.1188
234,19.84276919,105.3516079,0,0.0493,0.0812,0.077
235,19.84276702,105.3515776,0,0.0493,0.0812,0.077
236,19.84277929,105.3515065,0,0.0417,0.0643,0.0545
237,19.84277533,105.3516097,0,0.0493,0.0812,0.077
238,19.84280424,105.3515656,0,0.0739,0.0947,0.1188
239,19.84278152,105.3516746,0,0.0496,0.0738,0.074
240,19.84278657,105.3515642,0,0.0493,0.0812,0.077
241,19.84278088,105.3516122,0,0.0493,0.0812,0.077
242,19.84273317,105.3514667,0,0.0417,0.0643,0.0545
243,19.84278214,105.351636,0,0.0496,0.0738,0.074
244,19.84275913,105.3515838,0,0.0493,0.0812,0.077
245,19.84278262,105.3516614,0,0.0496,0.0738,0.074
246,19.84273603,105.3514815,0,0.0417,0.0643,0.0545
247,19.84280258,105.351647302,0,0.078,0.1136,0.1212
248,19.84282507,105.3516193,0,0.0739,0.0947,0.1188
249,19.842792027,105.3515268,0,0.0417,0.0643,0.0545
250,19.84274323,105.3515085,0,0.0417,0.0643,0.0545
251,19.84280369,105.351602069,0,0.0739,0.0947,0.1188
252,19.84278723,105.3516412,0,0.0496,0.0738,0.074
253,19.84276003,105.351458873,0,0.0417,0.0643,0.0545
254,19.84279284,105.3515363,0,0.0417,0.0643,0.0545
255,19.84278086,105.3516234,0,0.0493,0.0812,0.077
256,19.84276358,105.3515842,0,0.0493,0.0812,0.077
257,19.84275438,105.3515146,0,0.0417,0.0643,0.0545
258,19.84275733,105.3514739,0,0.0417,0.0643,0.0545
259,19.84274267,105.351526,0,0.0417,0.0643,0.0545
260,19.84278172,105.3515514,0,0.0493,0.0812,0.077
261,19.84276174,105.351579,0,0.0493,0.0812,0.077
262,19.84275095,105.3515382,0,0.0417,0.0643,0.0545
263,19.84274404,105.3514651,0,0.0417,0.0643,0.0545
264,19.84274965,105.3514887,0,0.0417,0.0643,0.0545
265,19.84279878,105.3515703,0,0.0739,0.0947,0.1188
266,19.84275274,105.3515742,0,0.0493,0.0812,0.077
