label,Long,Lat,B2,B3,B4,B5,B8,B8A,B11,B12
open water,105.88884992700008,19.96296050600005,0.0572,0.0818,0.0578,0.0974,0.0721,0.074,0.0492,0.0367
open water,105.88877630900004,19.96301040300005,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88870343300005,19.96295591300003,0.0739,0.0938,0.0822,0.111,0.1499,0.144,0.114,0.0814
open water,105.88877960400004,19.962999017000072,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88910564700006,19.962937787000044,0.0525,0.0718,0.0475,0.0922,0.1706,0.1576,0.0722,0.0383
open water,105.88883018000008,19.962725052000053,0.0498,0.0652,0.0488,0.0944,0.1026,0.0903,0.0539,0.0297
open water,105.88896488000006,19.962686134000023,0.0488,0.0668,0.0511,0.0997,0.1885,0.1879,0.081,0.0459
open water,105.88908121200006,19.962868144000023,0.0547,0.0808,0.0543,0.0922,0.0786,0.1608,0.0775,0.0385
open water,105.88874965900004,19.96308669300004,0.0506,0.0758,0.0592,0.1032,0.1688,0.229,0.1367,0.0867
open water,105.88891092200004,19.96286582800008,0.054,0.073,0.054,0.0944,0.0673,0.0903,0.0539,0.0297
open water,105.88907793000004,19.962953163000066,0.0548,0.078,0.0527,0.0922,0.0661,0.1576,0.0722,0.0383
open water,105.88898116900005,19.96290610900008,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88890793600008,19.96270397400008,0.0495,0.0664,0.055,0.0997,0.1826,0.1879,0.081,0.0459
open water,105.88886869100008,19.962960570000064,0.0572,0.0818,0.0578,0.0974,0.0721,0.074,0.0492,0.0367
open water,105.88892435600008,19.96296906700008,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88910299200006,19.962902967000048,0.0525,0.0718,0.0475,0.0922,0.1706,0.1576,0.0722,0.0383
open water,105.88880014200004,19.963080493000064,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88884698600005,19.96277371900004,0.0498,0.0652,0.0488,0.0944,0.1026,0.0903,0.0539,0.0297
open water,105.88870422700006,19.96287430500007,0.0584,0.0813,0.063,0.103,0.1177,0.152,0.103,0.0638
open water,105.88898738600004,19.962779243000057,0.051,0.071,0.0517,0.0944,0.0973,0.0903,0.0539,0.0297
open water,105.88902668300004,19.962757758000063,0.0532,0.0728,0.0532,0.0922,0.1204,0.1608,0.0775,0.0385
open water,105.88907555600008,19.96293242500008,0.0548,0.078,0.0527,0.0922,0.0661,0.1576,0.0722,0.0383
open water,105.88896195100004,19.963034970000024,0.0542,0.0785,0.0554,0.0974,0.088,0.074,0.0492,0.0367
open water,105.88911959200004,19.962952838000035,0.0525,0.0718,0.0475,0.0922,0.1706,0.1576,0.0722,0.0383
open water,105.88908296500004,19.962756445000025,0.0532,0.0728,0.0532,0.0922,0.1204,0.1608,0.0775,0.0385
open water,105.88865372900004,19.962827726000057,0.0584,0.0813,0.063,0.103,0.1177,0.152,0.103,0.0638
open water,105.88898423100004,19.962845972000025,0.0542,0.0778,0.055,0.0944,0.068,0.0903,0.0539,0.0297
open water,105.88879979200004,19.96281898600005,0.053,0.0701,0.052,0.103,0.0662,0.152,0.103,0.0638
open water,105.88910911000004,19.962978573000044,0.0525,0.0718,0.0475,0.0922,0.1706,0.1576,0.0722,0.0383
open water,105.88875269400006,19.96298426000004,0.0502,0.0712,0.0536,0.111,0.0782,0.144,0.114,0.0814
open water,105.88896048500004,19.96281091700008,0.051,0.071,0.0517,0.0944,0.0973,0.0903,0.0539,0.0297
open water,105.88898325500008,19.96300166100008,0.0542,0.0785,0.0554,0.0974,0.088,0.074,0.0492,0.0367
open water,105.88873997500008,19.963094239000043,0.0506,0.0758,0.0592,0.1032,0.1688,0.229,0.1367,0.0867
open water,105.88876574100004,19.962994997000067,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88896345000006,19.96290753600005,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88866119700003,19.96279568700004,0.0568,0.0744,0.0564,0.103,0.1708,0.152,0.103,0.0638
open water,105.88897208200008,19.962941855000054,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88900746900003,19.96287670200008,0.0547,0.0808,0.0543,0.0922,0.0786,0.1608,0.0775,0.0385
open water,105.88894907100008,19.96300668400005,0.0542,0.0785,0.0554,0.0974,0.088,0.074,0.0492,0.0367
open water,105.88877329300004,19.963065350000026,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88892343000003,19.96295111400008,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88882282100008,19.96279636100008,0.0496,0.063,0.0469,0.103,0.1295,0.152,0.103,0.0638
open water,105.88875325000004,19.963083252000047,0.0506,0.0758,0.0592,0.1032,0.1688,0.229,0.1367,0.0867
open water,105.88881555600004,19.96287040200008,0.053,0.0701,0.052,0.103,0.0662,0.152,0.103,0.0638
open water,105.88899464400004,19.962701993000053,0.0488,0.0668,0.0511,0.0997,0.1885,0.1879,0.081,0.0459
open water,105.88906299000008,19.96298402400004,0.0548,0.078,0.0527,0.0922,0.0661,0.1576,0.0722,0.0383
open water,105.88893661000009,19.96271822100005,0.0488,0.0668,0.0511,0.0997,0.1885,0.1879,0.081,0.0459
open water,105.88884754400004,19.96292265700004,0.0572,0.0818,0.0578,0.0974,0.0721,0.074,0.0492,0.0367
open water,105.88880002900004,19.962796398000023,0.0496,0.063,0.0469,0.103,0.1295,0.152,0.103,0.0638
open water,105.88881755100005,19.96300882400004,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88882607600004,19.96298179100006,0.0572,0.0818,0.0578,0.0974,0.0721,0.074,0.0492,0.0367
open water,105.88873293500006,19.96301122400008,0.0795,0.1072,0.0901,0.111,0.1741,0.144,0.114,0.0814
open water,105.88882722900009,19.963046279000025,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88890067700004,19.96270408700008,0.0495,0.0664,0.055,0.0997,0.1826,0.1879,0.081,0.0459
open water,105.88894295500006,19.962995444000057,0.0542,0.0785,0.0554,0.0974,0.088,0.074,0.0492,0.0367
open water,105.88898313900006,19.96273726800007,0.051,0.071,0.0517,0.0944,0.0973,0.0903,0.0539,0.0297
open water,105.88890262100004,19.96304895700007,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88894724200009,19.96291341500006,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88887948600006,19.963058507000028,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88905383900004,19.96293049000008,0.0548,0.078,0.0527,0.0922,0.0661,0.1576,0.0722,0.0383
open water,105.88891675800004,19.96278903500007,0.051,0.071,0.0517,0.0944,0.0973,0.0903,0.0539,0.0297
open water,105.88897722700004,19.96298847600008,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88900789900003,19.962978763000024,0.0548,0.078,0.0527,0.0922,0.0661,0.1576,0.0722,0.0383
open water,105.88878079700004,19.962931102000027,0.0502,0.0712,0.0536,0.111,0.0782,0.144,0.114,0.0814
open water,105.88892889600004,19.962797459000058,0.051,0.071,0.0517,0.0944,0.0973,0.0903,0.0539,0.0297
open water,105.88888104300008,19.962972234000063,0.0572,0.0818,0.0578,0.0974,0.0721,0.074,0.0492,0.0367
open water,105.88883126100006,19.962783967000064,0.0498,0.0652,0.0488,0.0944,0.1026,0.0903,0.0539,0.0297
open water,105.88881420700004,19.962806642000032,0.0496,0.063,0.0469,0.103,0.1295,0.152,0.103,0.0638
open water,105.88869423800008,19.96305640100008,0.0795,0.1072,0.0901,0.111,0.1741,0.144,0.114,0.0814
open water,105.88901681900006,19.96282912000004,0.0547,0.0808,0.0543,0.0922,0.0786,0.1608,0.0775,0.0385
open water,105.88900671100004,19.962682414000028,0.0509,0.0708,0.0508,0.1031,0.1942,0.2033,0.0978,0.0522
open water,105.88890745100008,19.963068889000056,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88903739000004,19.962842761000047,0.0547,0.0808,0.0543,0.0922,0.0786,0.1608,0.0775,0.0385
open water,105.88891533100008,19.962724796000032,0.051,0.071,0.0517,0.0944,0.0973,0.0903,0.0539,0.0297
open water,105.88891195200004,19.962917936000053,0.0572,0.0818,0.0578,0.0974,0.0721,0.074,0.0492,0.0367
open water,105.88895394800004,19.96283789000006,0.0542,0.0778,0.055,0.0944,0.068,0.0903,0.0539,0.0297
open water,105.88892650000008,19.962984393000056,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88876085900004,19.962779286000057,0.0496,0.063,0.0469,0.103,0.1295,0.152,0.103,0.0638
open water,105.88882585300009,19.962881741000047,0.054,0.073,0.054,0.0944,0.0673,0.0903,0.0539,0.0297
open water,105.88902634500003,19.96297974700008,0.0548,0.078,0.0527,0.0922,0.0661,0.1576,0.0722,0.0383
open water,105.88876552600004,19.96284090000006,0.053,0.0701,0.052,0.103,0.0662,0.152,0.103,0.0638
open water,105.88890152500004,19.96300638100007,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88893314200004,19.962935131000048,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88905781500004,19.962794192000047,0.0532,0.0728,0.0532,0.0922,0.1204,0.1608,0.0775,0.0385
open water,105.88880525400003,19.963032673000043,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88902242800005,19.962764997000026,0.0532,0.0728,0.0532,0.0922,0.1204,0.1608,0.0775,0.0385
open water,105.88891157600004,19.96303293200004,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88899558300004,19.96271308100006,0.0488,0.0668,0.0511,0.0997,0.1885,0.1879,0.081,0.0459
open water,105.88875539500005,19.96277591200004,0.0496,0.063,0.0469,0.103,0.1295,0.152,0.103,0.0638
open water,105.88900199700004,19.962920171000064,0.056,0.0852,0.0531,0.0974,0.0718,0.074,0.0492,0.0367
open water,105.88887680600004,19.962996581000027,0.059,0.0802,0.0576,0.0974,0.0833,0.074,0.0492,0.0367
open water,105.88903101400004,19.96288049700007,0.0547,0.0808,0.0543,0.0922,0.0786,0.1608,0.0775,0.0385
open water,105.88880870800004,19.963083383000026,0.0506,0.0758,0.0592,0.1032,0.1688,0.229,0.1367,0.0867
open water,105.88875775300004,19.963039224000056,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88869698300005,19.96291176900008,0.0739,0.0938,0.0822,0.111,0.1499,0.144,0.114,0.0814
open water,105.88881750300004,19.96304325700004,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88874627800004,19.96306968700003,0.0526,0.073,0.056,0.111,0.0902,0.144,0.114,0.0814
open water,105.88878054100007,19.96287456500005,0.053,0.0701,0.052,0.103,0.0662,0.152,0.103,0.0638
open water,105.88886959500007,19.962810654000062,0.0498,0.0652,0.0488,0.0944,0.1026,0.0903,0.0539,0.0297
open water,105.88912354200004,19.96299178000004,0.0538,0.0723,0.0476,0.0922,0.1837,0.1576,0.0722,0.0383
open water,105.67033433400007,19.659121716000072,0.1123,0.1454,0.1215,0.14435,0.1235,0.1255,0.046,0.03165
open water,105.66984459900004,19.65894431600003,0.0877,0.11315,0.0847,0.11225,0.08795,0.07985,0.03845,0.0287
open water,105.67012825600004,19.65900280900007,0.0951,0.1231,0.09685,0.14705,0.1022,0.1082,0.0452,0.03015
open water,105.67023599500004,19.65911950900005,0.1124,0.1389,0.1161,0.1447,0.1139,0.1106,0.04215,0.03035
open water,105.67009127800009,19.659118872000025,0.0986,0.126,0.09925,0.1447,0.102,0.1106,0.04215,0.03035
open water,105.67002789400004,19.659356764000048,0.1124,0.1445,0.1192,0.14335,0.11685,0.11755,0.04485,0.0334
open water,105.66996543400006,19.65872869500004,0.0787,0.1084,0.0833,0.1195,0.09015,0.0893,0.06525,0.0495
open water,105.67043991200006,19.65931444700004,0.09985,0.128,0.1199,0.1441,0.1261,0.12165,0.0473,0.03295
open water,105.66978337700004,19.658780864000047,0.0836,0.1116,0.0845,0.1202,0.08705,0.0796,0.03505,0.02395
open water,105.66980233700008,19.65906688300004,0.08935,0.112,0.0848,0.11715,0.08385,0.08165,0.03245,0.02335
open water,105.67064434800004,19.659058310000034,0.0889,0.1102,0.0894,0.12185,0.11585,0.1047,0.06545,0.04415
open water,105.67064021700008,19.65946515500008,0.0969,0.1164,0.09825,0.1514,0.1663,0.2164,0.1771,0.1373
open water,105.66994009400008,19.65892022400004,0.0892,0.1135,0.08645,0.11225,0.0882,0.07985,0.03845,0.0287
open water,105.67054839000008,19.659193492000043,0.0908,0.113,0.09335,0.14525,0.1184,0.1277,0.0425,0.026
open water,105.67037292000003,19.65904839500007,0.1082,0.1399,0.1213,0.1457,0.1263,0.1249,0.04695,0.03105
open water,105.67010303000006,19.658830712000054,0.114,0.1468,0.1262,0.15145,0.1318,0.1123,0.0566,0.0354
open water,105.67021819500007,19.659627901000025,0.1159,0.1442,0.1214,0.14415,0.12055,0.1081,0.05625,0.0404
open water,105.67000672300009,19.65923495800008,0.1047,0.1318,0.1083,0.1447,0.10835,0.1106,0.04215,0.03035
open water,105.66985496600005,19.65887055900004,0.08795,0.1112,0.08505,0.1173,0.08655,0.08225,0.0363,0.02995
open water,105.66984914800008,19.65884175400004,0.08795,0.1112,0.08505,0.1173,0.08655,0.08225,0.0363,0.02995
open water,105.66946604000007,19.658927458000047,0.06365,0.0919,0.0664,0.11445,0.05855,0.0691,0.0491,0.0342
open water,105.67069994300005,19.659053002000064,0.0889,0.1102,0.0894,0.12185,0.11585,0.1047,0.06545,0.04415
open water,105.67055858300004,19.659369769000023,0.0916,0.11495,0.0914,0.13835,0.114,0.1087,0.04405,0.0282
open water,105.66977393400003,19.65936551300007,0.0879,0.1155,0.087,0.11805,0.08515,0.1076,0.06815,0.0468
open water,105.67051125900008,19.65899999600004,0.0933,0.1224,0.1105,0.14575,0.1261,0.12395,0.04855,0.0287
open water,105.66955441200008,19.658968754000057,0.0868,0.1117,0.0862,0.11445,0.08325,0.0691,0.0491,0.0342
open water,105.66999085700007,19.658965033000072,0.0892,0.1135,0.08645,0.11225,0.0882,0.07985,0.03845,0.0287
open water,105.67031715500008,19.65957482300007,0.1022,0.128,0.1173,0.1417,0.1236,0.1212,0.06845,0.0432
open water,105.66950292900005,19.658884829000044,0.0618,0.0913,0.0662,0.10315,0.0562,0.061,0.05055,0.0329
open water,105.67022134600006,19.658972366000057,0.117,0.1397,0.1195,0.14705,0.1199,0.1082,0.0452,0.03015
open water,105.66976332500008,19.658707865000054,0.07895,0.11245,0.0847,0.12015,0.0869,0.08975,0.05335,0.0371
open water,105.67035943500008,19.658973763000063,0.101,0.1333,0.1215,0.1457,0.1294,0.1249,0.04695,0.03105
open water,105.67069063700006,19.65925520600007,0.08875,0.1116,0.0881,0.13025,0.10475,0.10705,0.0701,0.0462
open water,105.67058815500008,19.658950590000074,0.0913,0.11385,0.10145,0.14575,0.11925,0.12395,0.04855,0.0287
open water,105.66969973500004,19.658548086000053,0.0658,0.0964,0.08105,0.14015,0.10495,0.17855,0.15235,0.11605
open water,105.67021746900008,19.65926716900003,0.1142,0.1426,0.1171,0.1447,0.11675,0.1106,0.04215,0.03035
open water,105.67025649100005,19.65960035400008,0.1159,0.1442,0.1214,0.14415,0.12055,0.1081,0.05625,0.0404
open water,105.66956534400003,19.658789628000022,0.07595,0.1135,0.0865,0.10315,0.07965,0.061,0.05055,0.0329
open water,105.67069991600005,19.65907716500004,0.0889,0.1102,0.0894,0.12185,0.11585,0.1047,0.06545,0.04415
open water,105.66958815500004,19.658517592000067,0.0536,0.08415,0.0589,0.12875,0.0692,0.1574,0.1522,0.1205
